Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude;Use Location
1;Simplex 01;Digital;	430,10000;	430,10000;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
2;Simplex 02;Digital;	430,11250;	430,11250;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
3;Simplex 03;Digital;	430,12500;	430,12500;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
4;Simplex 04;Digital;	430,13750;	430,13750;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
5;Simplex 05;Digital;	430,15000;	430,15000;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
6;Simplex 06;Digital;	430,16250;	430,16250;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
7;Simplex 07;Digital;	430,17500;	430,17500;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
8;Simplex 08;Digital;	430,18750;	430,18750;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
9;Simplex 09;Digital;	430,20000;	430,20000;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
10;Simplex 10;Digital;	430,21250;	430,21250;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
11;Simplex 11;Digital;	430,22500;	430,22500;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
12;Simplex 12;Digital;	430,23750;	430,23750;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
13;Simplex 13;Digital;	430,25000;	430,25000;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
14;Simplex 14;Digital;	430,26250;	430,26250;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
15;Simplex 15;Digital;	430,27500;	430,27500;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
16;Simplex 16;Digital;	430,28750;	430,28750;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
17;Simplex 17;Digital;	430,30000;	430,30000;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
18;Simplex 18;Digital;	430,31250;	430,31250;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
19;Simplex 19;Digital;	430,32500;	430,32500;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
20;Simplex A70cm;Digital;	433,45000;	433,45000;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
21;Simplex A2m;Digital;	145,37500;	145,37500;;1;1;None;Simplex;None;Text;Text;;;;Master;No;No;No;495;Off;No;No;None;0;0;No
