Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude;Use location
1; DB0GMN Grimmen;Analogue;145,575000;144,97500;12,5;;;;;None;;;None;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;54,16240000;12,96740000;Yes
2; DO0RDG Ribnitz;Analogue;145,612500;145,01250;12,5;;;;;None;;;None;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;54,26540000;12,56804000;Yes
3;#DO0RDG.Ribnitz;Digital;438,800000;431,20000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,26540000;12,56804000;Yes
4;#DO0RDG Ribnitz;Analogue;439,012500;431,41250;12,5;;;;;None;;;None;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;54,26540000;12,56804000;Yes
5;#DB0FHS Stralsu;Analogue;438,775000;431,17500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,30910110;13,07699966;Yes
6;#DB0FHS.Stralsu;Digital;438,775000;431,17500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,30910110;13,07699966;Yes
7;#DB0HGW Greifsw;Analogue;438,300000;430,70000;25;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,09550095;13,37699986;Yes
8;#DB0HGW.Greifsw;Digital;438,300000;430,70000;25;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,09550095;13,37699986;Yes
9; DB0GWD Greifsw;Analogue;145,675000;145,07500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;54,08539963;13,39700031;Yes
10;#DM0HRO Rostock;Analogue;439,587500;431,98750;25,0;;;;;None;;;88,5;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;54,12300000;12,20130000;Yes
11;#DM0HRO.Rostock;Digital;438,325000;430,72500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,12300000;12,20130000;Yes
12;#DM0HRO Rostock;Analogue;439,350000;431,75000;12,5;;;;;None;;;None;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;54,12300000;12,20130000;Yes
13; DB0RUG Bergen;Analogue;145,600000;145,00000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;54,41849899;13,43299961;Yes
14;#DO0MAL Malchin;Analogue;438,600000;431,00000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,77720000;12,72100000;Yes
15;#DB0OVP Lubmin;Analogue;438,350000;430,75000;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,12049100;13,54880000;Yes
16;#DB0OVP.Lubmin;Digital;438,350000;430,75000;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,12049100;13,54880000;Yes
17; DB0HRO Rostock;Analogue;145,775000;145,17500;12,5;;;;;None;;;None;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;54,13949966;12,05090046;Yes
18;#DB0DBR Bad Dob;Analogue;439,375000;431,77500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,09659958;11,90310001;Yes
19;#DB0DBR.Bad.Dob;Digital;439,375000;431,77500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,09659958;11,90310001;Yes
20;#DM0RUG.Sagard;Digital;438,850000;431,25000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;54,55360031;13,59370041;Yes
21;#DO0SMG Sagard;Analogue;439,400000;431,80000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;54,55360031;13,59370041;Yes
22;#DB0WLG Wolgast;Analogue;438,650000;431,05000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;54,04959869;13,76659966;Yes
23;#DM0VG Spanteko;Analogue;438,550000;430,95000;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;53,78340149;13,54199982;Yes
24;#DB0TDR Satow;Analogue;438,975000;431,37500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,95489883;11,81040001;Yes
25; DB0KUE Kuehlun;Analogue;145,687500;145,08750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;54,12889862;11,69830036;Yes
26;#DB0KUE Kuehlun;Analogue;439,050000;431,45000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;54,12829971;11,69830036;Yes
27;#DB0NBB Neubran;Analogue;438,750000;431,15000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,57600021;13,27460003;Yes
28; DB0NBB Neubran;Analogue;145,625000;145,02500;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,57559967;13,27460003;Yes
29;#DO0RM Roebel;Analogue;438,825000;431,22500;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;53,38793300;12,61345200;Yes
30;#DO0RM.Roebel/M;Digital;439,250000;431,65000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,38793300;12,61345200;Yes
31;#DO0RM Roebel/M;Analogue;438,825000;431,22500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,38793300;12,61345200;Yes
32;#DB0MSP Neustre;Analogue;438,675000;431,07500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,36289978;13,06289959;Yes
33;#DO0HWI Wismar;Analogue;438,562500;430,96250;12,5;;;;;None;;;88,5;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;53,90137200;11,41339200;Yes
34;#DM0SBG Strasbu;Analogue;438,700000;431,10000;12,5;;;;;None;;;None;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;53,50610000;13,75090000;Yes
35;#DB0MIR Inning ;Analogue;439,300000;431,70000;25;;;;;None;;;None;123,0;Disabled;Master;No;No;No;495;Off;No;No;None;48,06250000;11,20829964;Yes
36;#DB0MIR.Inning.;Digital;438,737500;431,13750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;48,06250000;11,20829964;Yes
37;#DB0SMU.Langerr;Digital;438,200000;430,60000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;48,10280000;10,77070000;Yes
38;#DB0RTA.Gilchin;Digital;438,362500;430,76250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;48,11050034;11,32419968;Yes
